message,label
Thanks for your help with the assignment. Note 2 team,0
"Hi team, please review the meeting notes from yesterday. Note 8 team",0
Please find the project update in the shared folder. Note 4 team,0
Don't forget the team stand-up at 10 am. Note 8 team,0
Urgent: Your account is blocked. Verify your details immediately. Offer code 7 spam,1
Urgent: Your account is blocked. Verify your details immediately. Offer code 11 spam,1
Don't forget the team stand-up at 10 am. Note 0 team,0
You have been selected for a cash reward. Reply to receive it. Offer code 1 spam,1
Congratulations! You have won a free prize. Click now to claim. Offer code 1 spam,1
Can we reschedule our call to tomorrow afternoon? Note 0 team,0
I will send the invoice later today. Note 4 team,0
Congratulations! You have won a free prize. Click now to claim. Offer code 7 spam,1
You have been selected for a cash reward. Reply to receive it. Offer code 4 spam,1
Urgent: Your account is blocked. Verify your details immediately. Offer code 4 spam,1
Can we reschedule our call to tomorrow afternoon? Note 9 team,0
I will send the invoice later today. Note 1 team,0
Urgent: Your account is blocked. Verify your details immediately. Offer code 9 spam,1
Claim your lottery prize now by clicking this link. Offer code 4 spam,1
Don't forget the team stand-up at 10 am. Note 6 team,0
Win a free phone by entering the contest today. Offer code 4 spam,1
Lunch at 1 pm works for me. See you then. Note 10 team,0
The report is attached. Let me know if you need changes. Note 9 team,0
Special promotion just for you. Free gift inside. Offer code 7 spam,1
You have been selected for a cash reward. Reply to receive it. Offer code 6 spam,1
Limited time offer: buy now and get 50 percent off. Offer code 4 spam,1
Limited time offer: buy now and get 50 percent off. Offer code 7 spam,1
"Hi team, please review the meeting notes from yesterday. Note 1 team",0
I will send the invoice later today. Note 9 team,0
Please find the project update in the shared folder. Note 3 team,0
Thanks for your help with the assignment. Note 8 team,0
You have been selected for a cash reward. Reply to receive it. Offer code 7 spam,1
Special promotion just for you. Free gift inside. Offer code 10 spam,1
Limited time offer: buy now and get 50 percent off. Offer code 1 spam,1
The report is attached. Let me know if you need changes. Note 5 team,0
The report is attached. Let me know if you need changes. Note 10 team,0
Claim your lottery prize now by clicking this link. Offer code 0 spam,1
Claim your lottery prize now by clicking this link. Offer code 8 spam,1
I will send the invoice later today. Note 8 team,0
Claim your lottery prize now by clicking this link. Offer code 10 spam,1
You have been selected for a cash reward. Reply to receive it. Offer code 5 spam,1
Thanks for your help with the assignment. Note 6 team,0
You have been selected for a cash reward. Reply to receive it. Offer code 10 spam,1
Limited time offer: buy now and get 50 percent off. Offer code 2 spam,1
Act fast to get the bonus money offer. Offer code 8 spam,1
The report is attached. Let me know if you need changes. Note 2 team,0
Special promotion just for you. Free gift inside. Offer code 11 spam,1
Claim your lottery prize now by clicking this link. Offer code 6 spam,1
Act fast to get the bonus money offer. Offer code 3 spam,1
Lunch at 1 pm works for me. See you then. Note 4 team,0
I will send the invoice later today. Note 7 team,0
Thanks for your help with the assignment. Note 1 team,0
